MIDI,Onset,Duration,String,Position,Finger,Expansion
36,0.0,0.083333333,4,8,0,0
58,0.083333333,0.083333333,2,8,2,0
57,0.166666667,0.083333333,2,8,1,0
58,0.25,0.083333333,2,8,2,0
64,0.333333333,0.083333333,1,8,1,0
58,0.416666667,0.083333333,2,8,2,0
67,0.5,0.083333333,1,8,4,0
58,0.583333333,0.083333333,2,8,2,0
64,0.666666667,0.083333333,1,8,1,0
58,0.75,0.083333333,2,8,2,0
67,0.833333333,0.083333333,1,8,4,0
58,0.916666667,0.083333333,2,8,2,0
57,0.0,0.083333333,2,8,1,0
60,0.083333333,0.083333333,2,8,4,0
59,0.166666667,0.083333333,2,8,3,0
60,0.25,0.083333333,2,8,4,0
65,0.333333333,0.083333333,1,8,2,0
60,0.416666667,0.083333333,2,8,4,0
57,0.5,0.083333333,1,8,0,0
60,0.583333333,0.083333333,2,8,4,0
65,0.666666667,0.083333333,1,8,2,0
60,0.75,0.083333333,2,8,4,0
57,0.833333333,0.083333333,1,8,0,0
60,0.916666667,0.083333333,2,8,4,0
36,0.0,0.083333333,4,8,0,0
58,0.083333333,0.083333333,2,8,2,0
57,0.166666667,0.083333333,2,8,1,0
58,0.25,0.083333333,2,8,2,0
64,0.333333333,0.083333333,1,8,1,0
58,0.416666667,0.083333333,2,8,2,0
67,0.5,0.083333333,1,8,4,0
58,0.583333333,0.083333333,2,8,2,0
64,0.666666667,0.083333333,1,8,1,0
58,0.75,0.083333333,2,8,2,0
67,0.833333333,0.083333333,1,8,4,0
58,0.916666667,0.083333333,2,8,2,0
57,0.0,0.083333333,2,8,1,0
60,0.083333333,0.083333333,2,8,4,0
59,0.166666667,0.083333333,2,8,3,0
60,0.25,0.083333333,2,8,4,0
65,0.333333333,0.083333333,1,8,2,0
60,0.416666667,0.083333333,2,8,4,0
57,0.5,0.083333333,1,8,0,0
60,0.583333333,0.083333333,2,8,4,0
65,0.666666667,0.083333333,1,8,2,0
60,0.75,0.083333333,2,8,4,0
57,0.833333333,0.083333333,1,8,0,0
60,0.916666667,0.083333333,2,8,4,0
50,0.0,0.083333333,2,2,0,0
54,0.083333333,0.083333333,2,2,3,0
55,0.166666667,0.083333333,2,2,4,0
57,0.25,0.083333333,1,2,0,0
58,0.333333333,0.083333333,1,1,1,0
59,0.416666667,0.083333333,1,2,1,0
60,0.5,0.083333333,1,2,2,0
61,0.583333333,0.083333333,1,2,3,0
62,0.666666667,0.083333333,1,2,4,0
59,0.75,0.083333333,1,2,1,0
55,0.833333333,0.083333333,2,2,4,0
