MIDI,Onset,Duration,String,Position,Finger,Expansion
59,0.0,0.5,1,2,1,0
63,0.5,0.5,1,2,4,1
61,0.0,0.083333333,1,2,2,1
63,0.083333333,0.083333333,1,2,4,1
61,0.166666667,0.083333333,1,2,2,1
59,0.25,0.25,1,2,1,0
54,0.625,0.125,2,2,2,1
63,0.75,0.125,1,2,4,1
61,0.875,0.125,1,2,2,1
61,0.0,0.125,1,2,2,1
59,0.125,0.125,1,2,1,0
66,0.25,0.125,1,7,4,0
64,0.375,0.125,1,7,2,0
64,0.5,0.125,1,7,2,0
63,0.625,0.125,1,7,1,0
71,0.75,0.125,1,13,3,1
70,0.875,0.125,1,13,2,1
70,0.0,0.0,1,13,2,1
68,0.0,0.25,1,13,1,0
68,0.25,0.25,1,13,1,0
68,0.5,0.083333333,1,13,1,0
66,0.583333333,0.083333333,1,7,4,0
64,0.666666667,0.083333333,1,7,2,0
63,0.75,0.083333333,1,7,1,0
61,0.833333333,0.083333333,1,1,4,0
59,0.916666667,0.083333333,1,1,2,0
58,0.0,0.5,1,1,1,0
61,0.5,0.25,1,5,1,0
64,0.75,0.25,1,5,4,0
55,0.0,0.5,2,5,2,0
54,0.5,0.25,2,5,1,0
64,0.75,0.125,1,5,4,0
63,0.875,0.125,1,5,2,1
63,0.0,0.125,1,5,2,1
61,0.125,0.125,1,5,1,0
61,0.25,0.125,1,1,4,0
59,0.375,0.125,1,1,2,0
59,0.5,0.125,1,1,2,0
58,0.625,0.125,1,1,1,0
68,0.75,0.125,1,10,4,0
66,0.875,0.125,1,10,2,0
66,0.0,0.125,1,7,4,0
64,0.125,0.125,1,7,2,0
63,0.25,0.25,1,7,1,0
54,0.625,0.125,2,2,2,1
59,0.75,0.125,1,2,1,0
63,0.875,0.125,1,7,1,0
66,0.0,0.5,1,7,4,0
66,0.5,0.083333333,1,7,4,0
64,0.583333333,0.083333333,1,7,2,0
63,0.666666667,0.083333333,1,7,1,0
63,0.75,0.083333333,1,2,4,1
61,0.833333333,0.083333333,1,2,2,1
59,0.916666667,0.083333333,1,2,1,0
59,0.0,0.083333333,2,7,4,0
58,0.083333333,0.083333333,2,7,3,0
56,0.166666667,0.083333333,2,7,1,0
56,0.25,0.0,2,7,1,0
68,0.25,0.5,1,10,4,0
66,0.75,0.125,1,7,4,0
64,0.875,0.125,1,7,2,0
63,0.0,0.083333333,1,7,1,0
64,0.083333333,0.083333333,1,7,2,0
66,0.166666667,0.083333333,1,7,4,0
59,0.25,0.083333333,1,2,1,0
61,0.333333333,0.083333333,1,2,2,1
63,0.416666667,0.083333333,1,2,4,1
61,0.5,0.083333333,1,5,1,0
63,0.583333333,0.083333333,1,5,3,0
64,0.666666667,0.083333333,1,5,4,0
58,0.75,0.083333333,1,1,1,0
59,0.833333333,0.083333333,1,1,2,0
61,0.916666667,0.083333333,1,1,4,0
59,0.0,0.25,1,1,2,0
47,0.25,0.5,3,1,4,0
54,0.9375,0.0625,2,1,4,0
59,0.0,0.5,1,1,2,0
54,0.5,0.0,2,5,1,0
56,0.5,0.0,2,5,2,1
58,0.5,0.0,2,5,4,1
59,0.5,0.0,1,2,1,0
61,0.5,0.0,1,2,2,1
63,0.5,0.5,1,2,4,1
59,0.0,0.0,1,2,1,0
61,0.0,0.0,1,2,3,0
63,0.0,0.0,1,7,1,0
64,0.0,0.0,1,7,2,0
66,0.0,0.125,1,7,4,0
63,0.125,0.125,1,7,1,0
59,0.25,0.125,2,7,4,0
54,0.375,0.125,2,1,4,0
51,0.5,0.125,2,1,1,0
59,0.625,0.125,1,1,2,0
54,0.75,0.125,2,1,4,0
51,0.875,0.125,2,1,1,0
47,0.0,0.5,3,1,4,0
45,0.5,0.0,3,1,2,0
47,0.5,0.0,3,1,4,0
45,0.5,0.5,3,1,2,0
44,0.0,1.0,3,1,1,0
