MIDI,Onset,Duration,String,Position,Finger,Expansion
43,0.0,0.0625,3,1,0,0
55,0.0625,0.0625,2,1,4,1
58,0.125,0.0625,1,1,1,0
55,0.1875,0.0625,2,1,4,1
46,0.25,0.0625,3,1,2,1
55,0.3125,0.0625,2,1,4,1
58,0.375,0.0625,1,1,1,0
55,0.4375,0.0625,2,1,4,1
43,0.5,0.0625,3,1,0,0
55,0.5625,0.0625,2,1,4,1
58,0.625,0.0625,1,1,1,0
55,0.6875,0.0625,2,1,4,1
46,0.75,0.0625,3,1,2,1
55,0.8125,0.0625,2,1,4,1
58,0.875,0.0625,1,1,1,0
55,0.9375,0.0625,2,1,4,1
45,0.0,0.0625,3,2,1,0
55,0.0625,0.0625,2,2,4,0
60,0.125,0.0625,1,2,2,0
55,0.1875,0.0625,2,2,4,0
45,0.25,0.0625,3,2,1,0
55,0.3125,0.0625,2,2,4,0
60,0.375,0.0625,1,2,2,0
55,0.4375,0.0625,2,2,4,0
45,0.5,0.0625,3,2,1,0
54,0.5625,0.0625,2,2,3,0
60,0.625,0.0625,1,2,2,0
54,0.6875,0.0625,2,2,3,0
45,0.75,0.0625,3,2,1,0
52,0.8125,0.0625,2,2,1,0
60,0.875,0.0625,1,2,2,0
52,0.9375,0.0625,2,2,1,0
45,0.0,0.0625,3,2,1,0
54,0.0625,0.0625,2,2,3,0
60,0.125,0.0625,1,2,2,0
54,0.1875,0.0625,2,2,3,0
38,0.25,0.0625,4,2,1,0
54,0.3125,0.0625,2,2,3,0
60,0.375,0.0625,1,2,2,0
54,0.4375,0.0625,2,2,3,0
45,0.5,0.0625,3,2,1,0
54,0.5625,0.0625,2,2,3,0
60,0.625,0.0625,1,2,2,0
54,0.6875,0.0625,2,2,3,0
38,0.75,0.0625,4,2,1,0
54,0.8125,0.0625,2,2,3,0
60,0.875,0.0625,1,2,2,0
54,0.9375,0.0625,2,2,3,0
43,0.0,0.0625,3,2,0,0
55,0.0625,0.0625,2,2,4,0
60,0.125,0.0625,1,2,2,0
55,0.1875,0.0625,2,2,4,0
43,0.25,0.0625,3,2,0,0
55,0.3125,0.0625,2,2,4,0
60,0.375,0.0625,1,2,2,0
55,0.4375,0.0625,2,2,4,0
43,0.5,0.0625,3,1,0,0
55,0.5625,0.0625,2,1,4,1
58,0.625,0.0625,1,1,1,0
55,0.6875,0.0625,2,1,4,1
43,0.75,0.0625,3,2,0,0
55,0.8125,0.0625,2,2,4,0
57,0.875,0.0625,1,2,0,0
55,0.9375,0.0625,2,2,4,0
43,0.0,0.0625,3,8,0,0
58,0.0625,0.0625,2,8,2,0
67,0.125,0.0625,1,8,4,0
58,0.1875,0.0625,2,8,2,0
50,0.25,0.0625,3,8,1,0
58,0.3125,0.0625,2,8,2,0
67,0.375,0.0625,1,8,4,0
58,0.4375,0.0625,2,8,2,0
43,0.5,0.0625,3,8,0,0
58,0.5625,0.0625,2,8,2,0
67,0.625,0.0625,1,8,4,0
58,0.6875,0.0625,2,8,2,0
50,0.75,0.0625,3,8,1,0
58,0.8125,0.0625,2,8,2,0
67,0.875,0.0625,1,8,4,0
58,0.9375,0.0625,2,8,2,0
52,0.0,0.0625,3,8,3,0
58,0.0625,0.0625,2,8,2,0
67,0.125,0.0625,1,8,4,0
