MIDI,Onset,Duration,String,Position,Finger,Expansion
64,0.0,0.083333333,1,5,4,0
61,0.083333333,0.083333333,1,5,1,0
57,0.166666667,0.083333333,1,5,0,0
57,0.25,0.083333333,1,5,0,0
57,0.333333333,0.083333333,1,5,0,0
57,0.416666667,0.083333333,1,5,0,0
57,0.5,0.083333333,1,5,0,0
57,0.583333333,0.083333333,1,5,0,0
57,0.666666667,0.083333333,1,5,0,0
57,0.75,0.083333333,1,5,0,0
57,0.833333333,0.083333333,1,5,0,0
57,0.916666667,0.083333333,1,5,0,0
61,0.0,0.083333333,1,5,1,0
57,0.083333333,0.083333333,1,5,0,0
57,0.166666667,0.083333333,1,5,0,0
62,0.25,0.083333333,1,5,2,0
57,0.333333333,0.083333333,1,5,0,0
57,0.416666667,0.083333333,1,5,0,0
64,0.5,0.083333333,1,8,1,0
57,0.583333333,0.083333333,1,8,0,0
57,0.666666667,0.083333333,1,8,0,0
66,0.75,0.083333333,1,8,3,0
57,0.833333333,0.083333333,1,8,0,0
57,0.916666667,0.083333333,1,8,0,0
64,0.0,0.083333333,1,5,4,0
61,0.083333333,0.083333333,1,5,1,0
57,0.166666667,0.083333333,1,5,0,0
57,0.25,0.083333333,1,5,0,0
57,0.333333333,0.083333333,1,5,0,0
57,0.416666667,0.083333333,1,5,0,0
57,0.5,0.083333333,1,5,0,0
57,0.583333333,0.083333333,1,5,0,0
57,0.666666667,0.083333333,1,5,0,0
57,0.75,0.083333333,1,5,0,0
57,0.833333333,0.083333333,1,5,0,0
57,0.916666667,0.083333333,1,5,0,0
61,0.0,0.083333333,1,5,1,0
57,0.083333333,0.083333333,1,5,0,0
57,0.166666667,0.083333333,1,5,0,0
62,0.25,0.083333333,1,5,2,0
57,0.333333333,0.083333333,1,5,0,0
57,0.416666667,0.083333333,1,5,0,0
64,0.5,0.083333333,1,8,1,0
57,0.583333333,0.083333333,1,8,0,0
57,0.666666667,0.083333333,1,8,0,0
66,0.75,0.083333333,1,8,3,0
57,0.833333333,0.083333333,1,8,0,0
57,0.916666667,0.083333333,1,8,0,0
64,0.0,0.083333333,1,8,1,0
57,0.083333333,0.083333333,1,8,0,0
59,0.166666667,0.083333333,1,2,1,0
61,0.25,0.083333333,1,2,3,0
59,0.333333333,0.083333333,1,2,1,0
57,0.416666667,0.083333333,1,2,0,0
54,0.5,0.083333333,2,2,3,0
57,0.583333333,0.083333333,1,2,0,0
59,0.666666667,0.083333333,1,2,1,0
61,0.75,0.083333333,1,2,3,0
59,0.833333333,0.083333333,1,2,1,0
57,0.916666667,0.083333333,1,2,0,0
52,0.0,0.083333333,2,2,1,0
57,0.083333333,0.083333333,1,2,0,0
59,0.166666667,0.083333333,1,2,1,0
61,0.25,0.083333333,1,2,3,0
59,0.333333333,0.083333333,1,2,1,0
57,0.416666667,0.083333333,1,2,0,0
50,0.5,0.083333333,2,2,0,0
54,0.583333333,0.083333333,2,2,3,0
52,0.666666667,0.083333333,2,2,1,0
50,0.75,0.083333333,2,2,0,0
49,0.833333333,0.083333333,3,2,4,1
47,0.916666667,0.083333333,3,2,2,1
49,0.0,0.083333333,3,2,4,1
57,0.083333333,0.083333333,1,2,0,0
59,0.166666667,0.083333333,1,2,1,0
61,0.25,0.083333333,1,2,3,0
59,0.333333333,0.083333333,1,2,1,0
57,0.416666667,0.083333333,1,2,0,0
54,0.5,0.083333333,2,2,3,0
57,0.583333333,0.083333333,1,2,0,0
59,0.666666667,0.083333333,1,2,1,0
61,0.75,0.083333333,1,2,3,0
59,0.833333333,0.083333333,1,2,1,0
57,0.916666667,0.083333333,1,2,0,0
52,0.0,0.083333333,2,2,1,0
57,0.083333333,0.083333333,1,2,0,0
59,0.166666667,0.083333333,1,2,1,0
61,0.25,0.083333333,1,2,3,0
59,0.333333333,0.083333333,1,2,1,0
57,0.416666667,0.083333333,1,2,0,0
50,0.5,0.083333333,2,2,0,0
54,0.583333333,0.083333333,2,2,3,0
52,0.666666667,0.083333333,2,2,1,0
50,0.75,0.083333333,2,2,0,0
49,0.833333333,0.083333333,3,2,4,1
47,0.916666667,0.083333333,3,2,2,1
49,0.0,0.083333333,3,2,4,1
45,0.083333333,0.083333333,3,2,1,0
49,0.166666667,0.083333333,3,2,4,1
52,0.25,0.083333333,2,2,1,0
49,0.333333333,0.083333333,3,2,4,1
52,0.416666667,0.083333333,2,2,1,0
57,0.5,0.083333333,1,2,0,0
52,0.583333333,0.083333333,2,2,1,0
57,0.666666667,0.083333333,1,2,0,0
61,0.75,0.083333333,1,2,3,0
57,0.833333333,0.083333333,1,2,0,0
61,0.916666667,0.083333333,1,5,1,0
64,0.0,0.083333333,1,5,4,0
61,0.083333333,0.083333333,1,5,1,0
64,0.166666667,0.083333333,1,5,4,0
69,0.25,0.083333333,1,16,9,0
64,0.333333333,0.083333333,2,16,1,0
69,0.416666667,0.083333333,1,16,9,0
73,0.5,0.083333333,1,16,2,1
69,0.583333333,0.083333333,1,16,9,0
73,0.666666667,0.083333333,1,16,2,1
76,0.75,0.083333333,1,25,9,0
73,0.833333333,0.083333333,2,25,2,1
76,0.916666667,0.083333333,1,25,9,0
81,0.0,0.083333333,1,25,3,1
80,0.083333333,0.083333333,1,25,2,1
78,0.166666667,0.083333333,1,25,1,0
76,0.25,0.083333333,1,25,9,0
74,0.333333333,0.083333333,2,25,3,1
73,0.416666667,0.083333333,2,25,2,1
81,0.5,0.083333333,1,25,3,1
80,0.583333333,0.083333333,1,25,2,1
78,0.666666667,0.083333333,1,25,1,0
76,0.75,0.083333333,1,25,9,0
74,0.833333333,0.083333333,2,25,3,1
73,0.916666667,0.083333333,2,25,2,1
73,0.0,0.0,2,25,2,1
74,0.0,0.0,2,25,3,1
73,0.0,0.5,2,25,2,1
71,0.5,0.5,2,25,1,0
71,0.0,0.083333333,1,16,1,0
69,0.083333333,0.083333333,1,16,9,0
68,0.166666667,0.083333333,2,16,4,1
66,0.25,0.083333333,2,16,2,1
68,0.333333333,0.083333333,2,16,4,1
69,0.416666667,0.083333333,1,16,9,0
68,0.5,0.083333333,2,16,4,1
66,0.583333333,0.083333333,2,16,2,1
64,0.666666667,0.083333333,2,16,1,0
63,0.75,0.083333333,3,20,3,1
64,0.833333333,0.083333333,2,20,9,0
66,0.916666667,0.083333333,2,19,1,0
64,0.0,0.083333333,2,20,9,0
76,0.083333333,0.083333333,1,20,3,0
76,0.166666667,0.083333333,1,20,3,0
76,0.25,0.083333333,1,20,3,0
76,0.333333333,0.083333333,1,20,3,0
76,0.416666667,0.083333333,1,20,3,0
76,0.5,0.083333333,1,20,3,0
76,0.583333333,0.083333333,1,20,3,0
76,0.666666667,0.083333333,1,20,3,0
76,0.75,0.083333333,1,20,3,0
76,0.833333333,0.083333333,1,20,3,0
76,0.916666667,0.083333333,1,20,3,0
71,0.0,0.083333333,1,16,1,0
69,0.083333333,0.083333333,1,16,9,0
68,0.166666667,0.083333333,2,16,4,1
66,0.25,0.083333333,2,16,2,1
68,0.333333333,0.083333333,2,16,4,1
69,0.416666667,0.083333333,1,16,9,0
68,0.5,0.083333333,2,16,4,1
66,0.583333333,0.083333333,2,16,2,1
64,0.666666667,0.083333333,2,16,1,0
63,0.75,0.083333333,3,20,3,1
64,0.833333333,0.083333333,2,20,9,0
66,0.916666667,0.083333333,2,19,1,0
64,0.0,0.083333333,2,20,9,0
76,0.083333333,0.083333333,1,20,3,0
76,0.166666667,0.083333333,1,20,3,0
76,0.25,0.083333333,1,20,3,0
76,0.333333333,0.083333333,1,20,3,0
76,0.416666667,0.083333333,1,20,3,0
76,0.5,0.083333333,1,20,3,0
76,0.583333333,0.083333333,1,20,3,0
76,0.666666667,0.083333333,1,20,3,0
76,0.75,0.083333333,1,20,3,0
76,0.833333333,0.083333333,1,20,3,0
76,0.916666667,0.083333333,1,20,3,0
