MIDI,Onset,Duration,String,Position,Finger,Expansion
45,0.0,0.083333333,3,2,1,0
48,0.083333333,0.083333333,3,2,4,0
52,0.166666667,0.083333333,2,2,1,0
57,0.25,0.083333333,1,2,0,0
60,0.333333333,0.083333333,1,2,2,0
59,0.416666667,0.083333333,1,2,1,0
57,0.5,0.083333333,1,2,0,0
60,0.583333333,0.083333333,1,2,2,0
59,0.666666667,0.083333333,1,2,1,0
62,0.75,0.0,1,2,4,0
60,0.75,0.083333333,1,2,2,0
59,0.833333333,0.083333333,1,2,1,0
57,0.916666667,0.083333333,1,2,0,0
56,0.0,0.083333333,2,2,4,1
59,0.083333333,0.083333333,1,2,1,0
56,0.166666667,0.083333333,2,2,4,1
53,0.25,0.083333333,2,2,2,0
59,0.333333333,0.083333333,1,2,1,0
53,0.416666667,0.083333333,2,2,2,0
52,0.5,0.083333333,2,2,1,0
53,0.583333333,0.083333333,2,2,2,0
52,0.666666667,0.083333333,2,2,1,0
50,0.75,0.083333333,2,2,0,0
48,0.833333333,0.083333333,3,2,4,0
47,0.916666667,0.083333333,3,2,3,0
45,0.0,0.083333333,3,2,1,0
48,0.083333333,0.083333333,3,2,4,0
52,0.166666667,0.083333333,2,2,1,0
57,0.25,0.083333333,1,2,0,0
60,0.333333333,0.083333333,1,2,2,0
59,0.416666667,0.083333333,1,2,1,0
57,0.5,0.083333333,1,2,0,0
60,0.583333333,0.083333333,1,2,2,0
59,0.666666667,0.083333333,1,2,1,0
62,0.75,0.0,1,2,4,0
60,0.75,0.083333333,1,2,2,0
59,0.833333333,0.083333333,1,2,1,0
57,0.916666667,0.083333333,1,2,0,0
56,0.0,0.083333333,2,2,4,1
59,0.083333333,0.083333333,1,2,1,0
56,0.166666667,0.083333333,2,2,4,1
53,0.25,0.083333333,2,2,2,0
59,0.333333333,0.083333333,1,2,1,0
53,0.416666667,0.083333333,2,2,2,0
52,0.5,0.083333333,2,2,1,0
53,0.583333333,0.083333333,2,2,2,0
52,0.666666667,0.083333333,2,2,1,0
50,0.75,0.083333333,2,2,0,0
48,0.833333333,0.083333333,3,2,4,0
47,0.916666667,0.083333333,3,2,3,0
45,0.0,0.083333333,3,2,1,0
48,0.083333333,0.083333333,3,2,4,0
52,0.166666667,0.083333333,2,2,1,0
57,0.25,0.083333333,1,2,0,0
60,0.333333333,0.083333333,1,2,2,0
59,0.416666667,0.083333333,1,2,1,0
57,0.5,0.083333333,1,2,0,0
69,0.583333333,0.083333333,1,12,3,0
68,0.666666667,0.083333333,1,12,2,0
69,0.75,0.083333333,1,12,3,0
64,0.833333333,0.083333333,1,8,1,0
67,0.916666667,0.083333333,1,8,4,0
65,0.0,0.083333333,1,8,2,0
67,0.083333333,0.083333333,1,8,4,0
64,0.166666667,0.083333333,1,6,3,0
62,0.25,0.083333333,1,6,1,0
65,0.333333333,0.083333333,1,6,4,0
60,0.416666667,0.083333333,1,2,2,0
59,0.5,0.083333333,1,2,1,0
62,0.583333333,0.083333333,1,2,4,0
64,0.666666667,0.083333333,1,8,1,0
65,0.75,0.083333333,1,8,2,0
67,0.833333333,0.083333333,1,8,4,0
65,0.916666667,0.083333333,1,8,2,0
64,0.0,0.083333333,1,8,1,0
67,0.083333333,0.083333333,1,8,4,0
62,0.166666667,0.083333333,1,4,2,1
60,0.25,0.083333333,1,4,1,0
64,0.333333333,0.083333333,1,4,4,1
59,0.416666667,0.083333333,1,2,1,0
57,0.5,0.083333333,1,2,0,0
60,0.583333333,0.083333333,1,2,2,0
62,0.666666667,0.083333333,1,6,1,0
64,0.75,0.083333333,1,6,3,0
65,0.833333333,0.083333333,1,6,4,0
64,0.916666667,0.083333333,1,6,3,0
62,0.0,0.083333333,1,6,1,0
65,0.083333333,0.083333333,1,6,4,0
60,0.166666667,0.083333333,1,2,2,0
59,0.25,0.083333333,1,2,1,0
62,0.333333333,0.083333333,1,2,4,0
57,0.416666667,0.083333333,1,2,0,0
56,0.5,0.083333333,2,2,4,1
59,0.583333333,0.083333333,1,2,1,0
60,0.666666667,0.083333333,1,2,2,0
62,0.75,0.083333333,1,2,4,0
59,0.833333333,0.083333333,1,2,1,0
64,0.916666667,0.083333333,1,4,4,1
60,0.0,0.083333333,1,4,1,0
64,0.083333333,0.083333333,1,4,4,1
57,0.166666667,0.083333333,1,2,0,0
56,0.25,0.083333333,2,4,3,1
64,0.333333333,0.083333333,1,4,4,1
62,0.416666667,0.083333333,1,4,2,1
60,0.5,0.083333333,1,4,1,0
64,0.583333333,0.083333333,1,4,4,1
57,0.666666667,0.083333333,1,2,0,0
59,0.75,0.083333333,1,2,1,0
64,0.833333333,0.083333333,1,4,4,1
62,0.916666667,0.083333333,1,4,2,1
60,0.0,0.083333333,1,4,1,0
64,0.083333333,0.083333333,1,4,4,1
57,0.166666667,0.083333333,1,2,0,0
56,0.25,0.083333333,2,4,3,1
64,0.333333333,0.083333333,1,4,4,1
62,0.416666667,0.083333333,1,4,2,1
60,0.5,0.083333333,1,4,1,0
64,0.583333333,0.083333333,1,4,4,1
57,0.666666667,0.083333333,1,2,0,0
59,0.75,0.083333333,1,2,1,0
64,0.833333333,0.083333333,1,4,4,1
62,0.916666667,0.083333333,1,4,2,1
60,0.0,0.083333333,1,4,1,0
57,0.083333333,0.083333333,1,2,0,0
59,0.166666667,0.083333333,1,2,1,0
60,0.25,0.083333333,1,2,2,0
62,0.333333333,0.083333333,1,6,1,0
64,0.416666667,0.083333333,1,6,3,0
65,0.5,0.083333333,1,6,4,0
64,0.583333333,0.083333333,1,6,3,0
62,0.666666667,0.083333333,1,2,4,0
60,0.75,0.083333333,1,2,2,0
59,0.833333333,0.083333333,1,2,1,0
57,0.916666667,0.083333333,1,2,0,0
56,0.0,0.083333333,2,7,1,0
57,0.083333333,0.083333333,2,7,2,0
59,0.166666667,0.083333333,2,7,4,0
57,0.25,0.083333333,2,7,2,0
56,0.333333333,0.083333333,2,2,4,1
54,0.416666667,0.083333333,2,2,2,1
52,0.5,0.25,2,2,1,0
36,0.0,0.5,4,2,0,0
36,0.5,0.083333333,4,2,0,0
60,0.583333333,0.083333333,1,2,2,0
62,0.666666667,0.083333333,1,2,4,0
64,0.75,0.083333333,1,8,1,0
65,0.833333333,0.083333333,1,8,2,0
67,0.916666667,0.083333333,1,8,4,0
65,0.0,0.083333333,1,8,2,0
67,0.083333333,0.083333333,1,8,4,0
65,0.166666667,0.083333333,1,8,2,0
59,0.25,0.083333333,2,8,3,0
65,0.333333333,0.083333333,1,8,2,0
59,0.416666667,0.083333333,2,8,3,0
43,0.5,0.083333333,3,2,0,0
62,0.583333333,0.083333333,1,2,4,0
64,0.666666667,0.083333333,1,8,1,0
65,0.75,0.083333333,1,8,2,0
67,0.833333333,0.083333333,1,8,4,0
65,0.916666667,0.083333333,1,8,2,0
64,0.0,0.083333333,1,8,1,0
67,0.083333333,0.083333333,1,8,4,0
64,0.166666667,0.083333333,1,8,1,0
60,0.25,0.083333333,2,8,4,0
64,0.333333333,0.083333333,1,8,1,0
60,0.416666667,0.083333333,2,8,4,0
36,0.5,0.083333333,4,8,0,0
60,0.583333333,0.083333333,1,2,2,0
62,0.666666667,0.083333333,1,2,4,0
64,0.75,0.083333333,1,8,1,0
65,0.833333333,0.083333333,1,8,2,0
67,0.916666667,0.083333333,1,8,4,0
65,0.0,0.083333333,1,8,2,0
67,0.083333333,0.083333333,1,8,4,0
65,0.166666667,0.083333333,1,8,2,0
59,0.25,0.083333333,2,8,3,0
65,0.333333333,0.083333333,1,8,2,0
59,0.416666667,0.083333333,2,8,3,0
43,0.5,0.083333333,3,2,0,0
62,0.583333333,0.083333333,1,2,4,0
64,0.666666667,0.083333333,1,8,1,0
65,0.75,0.083333333,1,8,2,0
67,0.833333333,0.083333333,1,8,4,0
65,0.916666667,0.083333333,1,8,2,0
