MIDI,Onset,Duration,String,Position,Finger,Expansion
37,0.0,0.166666667,4,1,1,0
39,0.166666667,0.083333333,4,1,2,1
41,0.25,0.083333333,4,1,4,1
42,0.333333333,0.083333333,4,7,1,0
44,0.416666667,0.083333333,4,7,2,1
46,0.5,0.083333333,4,7,4,1
48,0.583333333,0.083333333,3,6,1,0
49,0.666666667,0.083333333,3,6,2,0
51,0.75,0.083333333,3,6,4,0
53,0.833333333,0.083333333,2,4,1,0
54,0.916666667,0.083333333,2,4,2,0
56,0.0,0.333333333,2,4,4,0
53,0.333333333,0.333333333,2,4,1,0
49,0.666666667,0.333333333,3,4,4,0
44,0.0,0.166666667,3,1,1,0
46,0.166666667,0.083333333,3,1,2,1
48,0.25,0.083333333,3,1,4,1
49,0.333333333,0.083333333,3,7,1,0
51,0.416666667,0.083333333,3,7,2,1
53,0.5,0.083333333,3,7,4,1
55,0.583333333,0.083333333,2,6,1,0
56,0.666666667,0.083333333,2,6,2,0
58,0.75,0.083333333,2,6,4,0
60,0.833333333,0.083333333,1,4,1,0
61,0.916666667,0.083333333,1,4,2,0
63,0.0,0.333333333,1,4,4,0
60,0.333333333,0.333333333,1,4,1,0
56,0.666666667,0.333333333,2,4,4,0
49,0.0,0.166666667,3,7,1,0
51,0.166666667,0.083333333,3,7,2,1
53,0.25,0.083333333,3,7,4,1
54,0.333333333,0.083333333,2,5,1,0
56,0.416666667,0.083333333,2,5,2,1
58,0.5,0.083333333,2,5,4,1
60,0.583333333,0.083333333,1,4,1,0
61,0.666666667,0.083333333,1,4,2,0
63,0.75,0.083333333,1,4,4,0
65,0.833333333,0.083333333,1,10,1,0
66,0.916666667,0.083333333,1,10,2,0
68,0.0,0.5,1,10,4,0
66,0.5,0.166666667,1,10,2,0
65,0.666666667,0.333333333,1,10,1,0
56,0.0,0.5,2,6,2,0
54,0.5,0.166666667,2,1,4,0
53,0.666666667,0.333333333,2,1,3,0
54,0.0,0.333333333,2,1,4,0
53,0.333333333,0.333333333,2,1,3,0
51,0.666666667,0.333333333,2,1,1,0
37,0.0,0.166666667,4,1,1,0
39,0.166666667,0.083333333,4,1,2,1
41,0.25,0.083333333,4,1,4,1
42,0.333333333,0.083333333,4,7,1,0
44,0.416666667,0.083333333,4,7,2,1
46,0.5,0.083333333,4,7,4,1
48,0.583333333,0.083333333,3,6,1,0
49,0.666666667,0.083333333,3,6,2,0
51,0.75,0.083333333,3,6,4,0
53,0.833333333,0.083333333,2,4,1,0
54,0.916666667,0.083333333,2,4,2,0
56,0.0,0.333333333,2,4,4,0
53,0.333333333,0.333333333,2,4,1,0
49,0.666666667,0.333333333,3,4,4,0
44,0.0,0.166666667,3,1,1,0
46,0.166666667,0.083333333,3,1,2,1
48,0.25,0.083333333,3,1,4,1
49,0.333333333,0.083333333,3,7,1,0
51,0.416666667,0.083333333,3,7,2,1
53,0.5,0.083333333,3,7,4,1
55,0.583333333,0.083333333,2,6,1,0
56,0.666666667,0.083333333,2,6,2,0
58,0.75,0.083333333,2,6,4,0
60,0.833333333,0.083333333,1,4,1,0
61,0.916666667,0.083333333,1,4,2,0
63,0.0,0.333333333,1,4,4,0
60,0.333333333,0.333333333,1,4,1,0
56,0.666666667,0.333333333,2,4,4,0
49,0.0,0.166666667,3,7,1,0
51,0.166666667,0.083333333,3,7,2,1
53,0.25,0.083333333,3,7,4,1
54,0.333333333,0.083333333,2,5,1,0
56,0.416666667,0.083333333,2,5,2,1
58,0.5,0.083333333,2,5,4,1
60,0.583333333,0.083333333,1,4,1,0
61,0.666666667,0.083333333,1,4,2,0
63,0.75,0.083333333,1,4,4,0
65,0.833333333,0.083333333,1,10,1,0
66,0.916666667,0.083333333,1,10,2,0
68,0.0,0.166666667,1,10,4,0
68,0.166666667,0.166666667,1,10,4,0
65,0.333333333,0.166666667,1,10,1,0
65,0.5,0.166666667,1,5,4,1
61,0.666666667,0.166666667,1,5,1,0
61,0.833333333,0.166666667,1,5,1,0
54,0.0,0.333333333,2,1,4,0
53,0.333333333,0.333333333,2,1,3,0
51,0.666666667,0.333333333,2,1,1,0
53,0.0,0.333333333,2,1,3,0
61,0.5,0.166666667,1,1,4,0
61,0.666666667,0.166666667,1,1,4,0
61,0.833333333,0.166666667,1,1,4,0
