MIDI,Onset,Duration,String,Position,Finger,Expansion
44,0.0,0.0,3,1,1,0
46,0.0,0.0,3,1,2,1
44,0.0,0.5,3,1,1,0
48,0.5,0.25,3,1,4,1
51,0.75,0.25,2,1,1,0
56,0.0,0.25,2,4,4,0
60,0.25,0.25,1,4,1,0
63,0.5,0.5,1,4,4,0
61,0.0,0.0,1,4,2,0
63,0.0,0.0,1,4,4,0
61,0.0,0.0625,1,4,2,0
60,0.0625,0.0625,1,4,1,0
61,0.125,0.0625,1,4,2,0
63,0.1875,0.0625,1,4,4,0
61,0.25,0.0,1,4,2,0
63,0.25,0.0,1,4,4,0
61,0.25,0.0625,1,4,2,0
60,0.3125,0.0625,1,4,1,0
61,0.375,0.0625,1,4,2,0
63,0.4375,0.0625,1,4,4,0
61,0.5,0.0625,1,4,2,0
60,0.5625,0.0625,1,4,1,0
58,0.625,0.0625,2,6,4,0
56,0.6875,0.0625,2,6,2,0
55,0.75,0.0625,2,6,1,0
53,0.8125,0.0625,3,7,4,1
51,0.875,0.0625,3,7,2,1
49,0.9375,0.0625,3,7,1,0
48,0.0,0.0625,3,1,4,1
44,0.0625,0.0625,3,1,1,0
46,0.125,0.0625,3,1,2,1
48,0.1875,0.0625,3,1,4,1
49,0.25,0.0625,3,7,1,0
51,0.3125,0.0625,3,7,2,1
53,0.375,0.0625,3,7,4,1
55,0.4375,0.0625,2,6,1,0
56,0.5,0.0625,2,6,2,0
58,0.5625,0.0625,2,6,4,0
60,0.625,0.0625,1,4,1,0
61,0.6875,0.0625,1,4,2,0
63,0.75,0.0625,1,4,4,0
65,0.8125,0.0625,1,10,1,0
67,0.875,0.0625,1,10,3,0
68,0.9375,0.0625,1,10,4,0
67,0.0,0.0625,1,10,3,0
68,0.0625,0.0625,1,10,4,0
67,0.125,0.0625,1,10,3,0
68,0.1875,0.0625,1,10,4,0
70,0.25,0.0625,1,15,1,0
72,0.3125,0.0625,1,15,2,1
70,0.375,0.0625,1,15,1,0
72,0.4375,0.0625,1,15,2,1
73,0.5,0.0625,1,15,3,1
72,0.5625,0.0625,1,15,2,1
