MIDI,Onset,Duration,String,Position,Finger,Expansion
47,0.0,0.125,3,1,4,0
51,0.125,0.125,2,1,1,0
54,0.25,0.125,2,1,4,0
51,0.375,0.125,2,1,1,0
47,0.5,0.125,3,1,4,0
51,0.625,0.125,2,1,1,0
54,0.75,0.125,2,1,4,0
59,0.875,0.125,1,1,2,0
58,0.0,0.125,1,1,1,0
59,0.125,0.125,1,1,2,0
61,0.25,0.125,1,1,4,0
58,0.375,0.125,1,1,1,0
54,0.5,0.125,2,1,4,0
52,0.625,0.125,2,1,2,0
54,0.75,0.125,2,1,4,0
52,0.875,0.125,2,1,2,0
51,0.0,0.125,2,1,1,0
47,0.125,0.125,3,1,4,0
51,0.25,0.125,2,1,1,0
54,0.375,0.125,2,1,4,0
51,0.5,0.125,2,1,1,0
54,0.625,0.125,2,1,4,0
58,0.75,0.125,1,1,1,0
59,0.875,0.125,1,1,2,0
58,0.0,0.125,1,1,1,0
59,0.125,0.125,1,1,2,0
61,0.25,0.125,1,1,4,0
58,0.375,0.125,1,1,1,0
54,0.5,0.125,2,1,4,0
52,0.625,0.125,2,1,2,0
54,0.75,0.125,2,1,4,0
52,0.875,0.125,2,1,2,0
51,0.0,0.1875,2,1,1,0
59,0.1875,0.0625,1,1,2,0
59,0.25,0.0,1,1,2,0
61,0.25,0.0,1,1,4,0
59,0.25,0.125,1,1,2,0
58,0.375,0.0625,1,1,1,0
59,0.4375,0.0625,1,1,2,0
51,0.5,0.125,2,1,1,0
59,0.625,0.125,1,1,2,0
51,0.75,0.125,2,1,1,0
59,0.875,0.125,1,1,2,0
52,0.0,0.1875,2,1,2,0
59,0.1875,0.0625,1,1,2,0
59,0.25,0.0,1,1,2,0
61,0.25,0.0,1,1,4,0
59,0.25,0.125,1,1,2,0
58,0.375,0.0625,1,1,1,0
59,0.4375,0.0625,1,1,2,0
52,0.5,0.125,2,1,2,0
59,0.625,0.125,1,1,2,0
52,0.75,0.125,2,1,2,0
59,0.875,0.125,1,1,2,0
53,0.0,0.1875,2,1,3,0
59,0.1875,0.0625,1,1,2,0
59,0.25,0.0,1,1,2,0
61,0.25,0.0,1,1,4,0
59,0.25,0.125,1,1,2,0
58,0.375,0.0625,1,1,1,0
59,0.4375,0.0625,1,1,2,0
53,0.5,0.125,2,1,2,1
59,0.625,0.125,1,1,2,0
53,0.75,0.125,2,1,2,1
59,0.875,0.125,1,1,2,0
54,0.0,0.1875,2,1,4,0
58,0.1875,0.0625,1,1,1,0
58,0.25,0.0,1,1,1,0
59,0.25,0.0,1,1,2,0
58,0.25,0.125,1,1,1,0
57,0.375,0.0625,1,1,0,0
58,0.4375,0.0625,1,1,1,0
54,0.5,0.125,2,1,4,0
58,0.625,0.125,1,1,1,0
52,0.75,0.125,2,1,2,0
58,0.875,0.125,1,1,1,0
51,0.0,0.1875,2,1,1,0
59,0.1875,0.0625,1,1,2,0
59,0.25,0.0,1,1,2,0
61,0.25,0.0,1,1,4,0
59,0.25,0.125,1,1,2,0
58,0.375,0.0625,1,1,1,0
59,0.4375,0.0625,1,1,2,0
51,0.5,0.125,2,1,1,0
59,0.625,0.125,1,1,2,0
51,0.75,0.125,2,1,1,0
59,0.875,0.125,1,1,2,0
52,0.0,0.1875,2,1,2,0
59,0.1875,0.0625,1,1,2,0
59,0.25,0.0,1,1,2,0
61,0.25,0.0,1,1,4,0
59,0.25,0.125,1,1,2,0
58,0.375,0.0625,1,1,1,0
59,0.4375,0.0625,1,1,2,0
52,0.5,0.125,2,1,2,0
59,0.625,0.125,1,1,2,0
52,0.75,0.125,2,1,2,0
59,0.875,0.125,1,1,2,0
54,0.0,0.1875,2,1,4,0
58,0.1875,0.0625,1,1,1,0
58,0.25,0.0,1,1,1,0
59,0.25,0.0,1,1,2,0
58,0.25,0.125,1,1,1,0
57,0.375,0.0625,1,1,0,0
58,0.4375,0.0625,1,1,1,0
54,0.5,0.125,2,1,4,0
58,0.625,0.125,1,1,1,0
54,0.75,0.125,2,1,4,0
58,0.875,0.125,1,1,1,0
47,0.0,0.5,3,1,4,0
47,0.0,0.125,3,1,4,0
59,0.125,0.125,1,1,2,0
58,0.25,0.125,1,1,1,0
59,0.375,0.125,1,1,2,0
54,0.5,0.125,2,1,4,0
59,0.625,0.125,1,1,2,0
51,0.75,0.125,2,1,1,0
54,0.875,0.125,2,1,4,0
47,0.0,0.125,3,1,4,0
51,0.125,0.125,2,1,1,0
54,0.25,0.125,2,1,4,0
51,0.375,0.125,2,1,1,0
47,0.5,0.125,3,1,4,0
51,0.625,0.125,2,1,1,0
45,0.75,0.125,3,1,2,0
54,0.875,0.125,2,1,4,0
44,0.0,0.125,3,1,1,0
52,0.125,0.125,2,1,2,0
51,0.25,0.125,2,1,1,0
52,0.375,0.125,2,1,2,0
47,0.5,0.125,3,1,4,0
52,0.625,0.125,2,1,2,0
44,0.75,0.125,3,1,1,0
47,0.875,0.125,3,1,4,0
40,0.0,0.125,4,1,4,0
44,0.125,0.125,3,1,1,0
47,0.25,0.125,3,1,4,0
44,0.375,0.125,3,1,1,0
40,0.5,0.125,4,1,4,0
44,0.625,0.125,3,1,1,0
45,0.75,0.125,3,1,2,0
46,0.875,0.125,3,1,3,0
