MIDI,Onset,Duration,String,Position,Finger,Expansion
47,0.0,0.125,3,1,4,0
59,0.125,0.125,1,1,2,0
58,0.25,0.125,1,1,1,0
59,0.375,0.125,1,1,2,0
47,0.5,0.125,3,1,4,0
59,0.625,0.125,1,1,2,0
46,0.75,0.125,3,1,3,0
58,0.875,0.125,1,1,1,0
47,0.0,0.125,3,1,4,0
59,0.125,0.125,1,1,2,0
49,0.25,0.125,3,5,3,0
61,0.375,0.125,1,5,1,0
50,0.5,0.125,3,5,4,0
62,0.625,0.125,1,5,2,0
47,0.75,0.125,3,2,2,1
59,0.875,0.125,1,2,1,0
49,0.0,0.125,3,4,4,0
61,0.125,0.125,1,4,2,0
60,0.25,0.125,1,4,1,0
61,0.375,0.125,1,4,2,0
49,0.5,0.125,3,4,4,0
61,0.625,0.125,1,4,2,0
48,0.75,0.125,3,4,3,0
60,0.875,0.125,1,4,1,0
49,0.0,0.125,3,4,4,0
61,0.125,0.125,1,4,2,0
50,0.25,0.125,3,6,2,1
62,0.375,0.125,1,6,1,0
52,0.5,0.125,3,6,4,1
64,0.625,0.125,1,6,2,1
49,0.75,0.125,3,5,3,0
61,0.875,0.125,1,5,1,0
50,0.0,0.125,3,5,4,0
62,0.125,0.125,1,5,2,0
61,0.25,0.125,1,5,1,0
62,0.375,0.125,1,5,2,0
50,0.5,0.125,3,5,4,0
62,0.625,0.125,1,5,2,0
49,0.75,0.125,3,5,3,0
61,0.875,0.125,1,5,1,0
50,0.0,0.125,3,5,4,0
62,0.125,0.125,1,5,2,0
47,0.25,0.125,3,5,1,0
62,0.375,0.125,1,5,2,0
49,0.5,0.125,3,5,3,0
64,0.625,0.125,1,5,4,0
50,0.75,0.125,3,8,1,0
66,0.875,0.125,1,8,3,0
52,0.0,0.125,3,8,3,0
67,0.125,0.125,1,8,4,0
66,0.25,0.125,1,8,3,0
67,0.375,0.125,1,8,4,0
61,0.5,0.125,1,5,1,0
62,0.625,0.125,1,5,2,0
64,0.75,0.125,1,5,4,0
61,0.875,0.125,1,5,1,0
62,0.0,0.125,1,6,1,0
66,0.125,0.125,1,6,4,1
59,0.25,0.125,1,2,1,0
62,0.375,0.125,1,2,4,0
61,0.5,0.125,1,5,1,0
64,0.625,0.125,1,5,4,0
58,0.75,0.125,1,1,1,0
61,0.875,0.125,1,1,4,0
47,0.0,0.125,3,1,4,0
59,0.125,0.125,1,1,2,0
58,0.25,0.125,1,1,1,0
59,0.375,0.125,1,1,2,0
47,0.5,0.125,3,1,4,0
59,0.625,0.125,1,1,2,0
46,0.75,0.125,3,1,3,0
58,0.875,0.125,1,1,1,0
47,0.0,0.125,3,1,4,0
59,0.125,0.125,1,1,2,0
49,0.25,0.125,3,5,3,0
61,0.375,0.125,1,5,1,0
50,0.5,0.125,3,5,4,0
62,0.625,0.125,1,5,2,0
47,0.75,0.125,3,2,2,1
59,0.875,0.125,1,2,1,0
49,0.0,0.125,3,4,4,0
61,0.125,0.125,1,4,2,0
60,0.25,0.125,1,4,1,0
61,0.375,0.125,1,4,2,0
49,0.5,0.125,3,4,4,0
61,0.625,0.125,1,4,2,0
48,0.75,0.125,3,4,3,0
60,0.875,0.125,1,4,1,0
49,0.0,0.125,3,4,4,0
61,0.125,0.125,1,4,2,0
52,0.25,0.125,3,7,4,0
64,0.375,0.125,1,7,2,0
45,0.5,0.125,4,7,4,0
57,0.625,0.125,2,7,2,0
43,0.75,0.125,4,5,4,0
55,0.875,0.125,2,5,2,0
42,0.0,0.125,4,5,3,0
62,0.125,0.125,1,2,4,0
61,0.25,0.125,1,2,3,0
62,0.375,0.125,1,2,4,0
50,0.5,0.125,2,2,0,0
62,0.625,0.125,1,2,4,0
52,0.75,0.125,2,2,1,0
62,0.875,0.125,1,2,4,0
54,0.0,0.125,2,2,3,0
62,0.125,0.125,1,2,4,0
50,0.25,0.125,2,2,0,0
62,0.375,0.125,1,2,4,0
52,0.5,0.125,2,2,1,0
62,0.625,0.125,1,2,4,0
54,0.75,0.125,2,2,3,0
62,0.875,0.125,1,2,4,0
55,0.0,0.125,2,2,4,0
59,0.125,0.125,1,2,1,0
55,0.25,0.125,2,2,4,0
54,0.375,0.125,2,2,3,0
52,0.5,0.125,2,2,1,0
55,0.625,0.125,2,2,4,0
52,0.75,0.125,2,2,1,0
50,0.875,0.125,2,2,0,0
49,0.0,0.125,3,2,4,1
52,0.125,0.125,2,2,1,0
47,0.25,0.125,3,2,2,1
52,0.375,0.125,2,2,1,0
45,0.5,0.125,3,2,1,0
52,0.625,0.125,2,2,1,0
43,0.75,0.125,3,2,0,0
52,0.875,0.125,2,2,1,0
