MIDI,Onset,Duration,String,Position,Finger,Expansion
51,0.0,0.5,2,1,1,0
51,0.583333333,0.083333333,2,1,1,0
53,0.666666667,0.083333333,2,1,3,0
54,0.75,0.083333333,2,1,4,0
53,0.833333333,0.083333333,2,1,3,0
51,0.916666667,0.083333333,2,1,1,0
53,0.0,0.5,2,1,3,0
62,0.583333333,0.083333333,1,6,1,0
63,0.666666667,0.083333333,1,6,2,0
65,0.75,0.083333333,1,6,4,0
63,0.833333333,0.083333333,1,6,2,0
62,0.916666667,0.083333333,1,6,1,0
56,0.0,0.5,2,6,2,0
53,0.583333333,0.083333333,2,4,1,0
54,0.666666667,0.083333333,2,4,2,0
56,0.75,0.083333333,2,4,4,0
54,0.833333333,0.083333333,2,4,2,0
53,0.916666667,0.083333333,2,4,1,0
54,0.0,0.5,2,4,2,0
51,0.583333333,0.083333333,2,1,1,0
53,0.666666667,0.083333333,2,1,3,0
54,0.75,0.083333333,2,1,4,0
56,0.833333333,0.083333333,2,7,1,0
58,0.916666667,0.083333333,2,7,3,0
59,0.0,0.5,2,7,4,0
58,0.5,0.083333333,2,7,3,0
63,0.583333333,0.083333333,1,7,1,0
65,0.666666667,0.083333333,1,7,3,0
66,0.75,0.083333333,1,7,4,0
65,0.833333333,0.083333333,1,7,3,0
63,0.916666667,0.083333333,1,7,1,0
56,0.0,0.0,2,5,2,1
58,0.0,0.0,2,5,4,1
56,0.0,0.5,2,5,2,1
54,0.5,0.083333333,2,5,1,0
63,0.583333333,0.083333333,1,6,2,0
62,0.666666667,0.083333333,1,6,1,0
63,0.75,0.083333333,1,6,2,0
58,0.833333333,0.083333333,1,1,1,0
61,0.916666667,0.083333333,1,1,4,0
59,0.0,0.083333333,1,1,2,0
56,0.083333333,0.083333333,2,7,1,0
59,0.166666667,0.083333333,2,7,4,0
58,0.25,0.083333333,2,7,3,0
54,0.333333333,0.083333333,2,5,1,0
58,0.416666667,0.083333333,2,5,4,1
56,0.5,0.083333333,2,5,3,0
53,0.583333333,0.083333333,2,4,1,0
56,0.666666667,0.083333333,2,4,4,0
54,0.75,0.083333333,2,4,2,0
53,0.833333333,0.083333333,2,1,3,0
51,0.916666667,0.083333333,2,1,1,0
50,0.0,0.083333333,2,1,0,0
51,0.083333333,0.083333333,2,1,1,0
53,0.166666667,0.083333333,2,1,3,0
51,0.25,0.083333333,2,1,1,0
50,0.333333333,0.083333333,2,1,0,0
47,0.416666667,0.083333333,3,1,4,0
46,0.5,0.25,3,1,3,0
51,0.0,0.5,2,1,1,0
51,0.583333333,0.083333333,2,1,1,0
53,0.666666667,0.083333333,2,1,3,0
54,0.75,0.083333333,2,1,4,0
53,0.833333333,0.083333333,2,1,3,0
51,0.916666667,0.083333333,2,1,1,0
53,0.0,0.5,2,1,3,0
62,0.583333333,0.083333333,1,6,1,0
63,0.666666667,0.083333333,1,6,2,0
65,0.75,0.083333333,1,6,4,0
63,0.833333333,0.083333333,1,6,2,0
62,0.916666667,0.083333333,1,6,1,0
56,0.0,0.5,2,6,2,0
53,0.583333333,0.083333333,2,4,1,0
54,0.666666667,0.083333333,2,4,2,0
56,0.75,0.083333333,2,4,4,0
54,0.833333333,0.083333333,2,4,2,0
53,0.916666667,0.083333333,2,4,1,0
54,0.0,0.5,2,4,2,0
51,0.583333333,0.083333333,2,1,1,0
53,0.666666667,0.083333333,2,1,3,0
54,0.75,0.083333333,2,1,4,0
56,0.833333333,0.083333333,2,7,1,0
58,0.916666667,0.083333333,2,7,3,0
59,0.0,0.5,2,7,4,0
58,0.5,0.083333333,2,7,3,0
63,0.583333333,0.083333333,1,7,1,0
65,0.666666667,0.083333333,1,7,3,0
66,0.75,0.083333333,1,7,4,0
65,0.833333333,0.083333333,1,7,3,0
63,0.916666667,0.083333333,1,7,1,0
56,0.0,0.0,2,5,2,1
58,0.0,0.0,2,5,4,1
56,0.0,0.5,2,5,2,1
54,0.5,0.083333333,2,5,1,0
63,0.583333333,0.083333333,1,6,2,0
62,0.666666667,0.083333333,1,6,1,0
63,0.75,0.083333333,1,6,2,0
58,0.833333333,0.083333333,1,1,1,0
61,0.916666667,0.083333333,1,1,4,0
59,0.0,0.083333333,1,1,2,0
58,0.083333333,0.083333333,1,1,1,0
56,0.166666667,0.083333333,2,4,4,0
54,0.25,0.083333333,2,4,2,0
53,0.333333333,0.083333333,2,4,1,0
56,0.416666667,0.083333333,2,4,4,0
54,0.5,0.083333333,2,4,2,0
53,0.583333333,0.083333333,2,4,1,0
51,0.666666667,0.083333333,3,8,2,0
50,0.75,0.083333333,3,8,1,0
51,0.833333333,0.083333333,3,8,2,0
53,0.916666667,0.083333333,3,8,4,0
51,0.0,0.083333333,3,8,2,0
46,0.083333333,0.083333333,4,7,4,1
44,0.166666667,0.083333333,4,7,2,1
42,0.25,0.083333333,4,7,1,0
44,0.333333333,0.083333333,4,7,2,1
46,0.416666667,0.083333333,4,7,4,1
39,0.5,0.25,4,2,2,0
