MIDI,Onset,Duration,String,Position,Finger,Expansion
58,0.9375,0.0625,2,7,3,0
66,0.0,0.5,1,7,4,0
65,0.5,0.25,1,7,3,0
58,0.9375,0.0625,2,6,4,0
63,0.0,0.5,1,6,2,0
61,0.5,0.25,1,5,1,0
58,0.9375,0.0625,1,1,1,0
57,0.0,0.25,1,1,0,0
58,0.25,0.25,1,1,1,0
60,0.5,0.25,1,1,3,0
61,0.75,0.25,1,5,1,0
65,0.0,0.0,1,5,4,1
63,0.0,0.25,1,5,2,1
61,0.25,0.25,1,5,1,0
58,0.9375,0.0625,2,7,3,0
66,0.0,0.5,1,7,4,0
65,0.5,0.25,1,7,3,0
58,0.9375,0.0625,2,6,4,0
63,0.0,0.5,1,6,2,0
61,0.5,0.25,1,5,1,0
60,0.9375,0.0625,1,1,3,0
58,0.0,0.25,1,1,1,0
61,0.25,0.5,1,1,4,0
60,0.75,0.125,1,1,3,0
58,0.875,0.125,1,1,1,0
57,0.0,0.25,1,1,0,0
66,0.25,0.5,1,7,4,0
65,0.75,0.125,1,7,3,0
63,0.875,0.125,1,7,1,0
61,0.0,0.125,1,1,4,0
57,0.125,0.125,1,1,0,0
58,0.25,0.125,1,1,1,0
60,0.375,0.125,1,1,3,0
61,0.5,0.125,1,1,4,0
57,0.625,0.125,1,1,0,0
58,0.75,0.125,1,1,1,0
52,0.875,0.125,2,1,2,0
53,0.0,0.25,2,1,3,0
54,0.25,0.5,2,1,4,0
53,0.75,0.125,2,1,3,0
51,0.875,0.125,2,1,1,0
49,0.0,0.125,3,2,4,1
45,0.125,0.125,3,2,1,0
46,0.25,0.125,3,2,2,0
48,0.375,0.125,3,6,1,0
49,0.5,0.125,3,6,2,0
50,0.625,0.125,3,8,1,0
51,0.75,0.125,3,8,2,0
52,0.875,0.125,3,8,3,0
53,0.0,0.25,3,8,4,0
41,0.25,0.25,4,6,1,0
49,0.0,0.75,3,6,2,0
65,0.75,0.125,1,6,4,0
61,0.875,0.125,1,4,2,0
61,0.0,0.125,1,4,2,0
60,0.125,0.125,1,4,1,0
60,0.25,0.25,1,4,1,0
60,0.5,0.125,1,4,1,0
61,0.625,0.125,1,4,2,0
63,0.75,0.125,1,7,1,0
65,0.875,0.125,1,7,3,0
66,0.0,0.125,1,7,4,0
60,0.125,0.125,1,4,1,0
63,0.25,0.125,1,4,4,0
54,0.375,0.125,2,5,1,0
58,0.5,0.125,2,5,4,1
51,0.625,0.125,2,1,1,0
56,0.75,0.125,2,4,4,0
54,0.875,0.125,2,4,2,0
