MIDI,Onset,Duration,String,Position,Finger,Expansion
52,0.0,0.125,2,2,1,0
55,0.125,0.125,2,2,4,0
59,0.25,0.125,1,2,1,0
55,0.375,0.125,2,2,4,0
60,0.5,0.125,1,2,2,0
57,0.625,0.125,1,2,0,0
54,0.75,0.125,2,2,3,0
59,0.875,0.125,1,2,1,0
55,0.0,0.125,2,2,4,0
52,0.125,0.125,2,2,1,0
55,0.25,0.125,2,2,4,0
59,0.375,0.125,1,2,1,0
60,0.5,0.125,1,2,2,0
57,0.625,0.125,1,2,0,0
54,0.75,0.125,2,2,3,0
59,0.875,0.125,1,2,1,0
55,0.0,0.125,2,2,4,0
52,0.125,0.125,2,2,1,0
55,0.25,0.125,2,2,4,0
59,0.375,0.125,1,2,1,0
60,0.5,0.125,1,2,2,0
57,0.625,0.125,1,2,0,0
54,0.75,0.125,2,1,4,0
52,0.875,0.125,2,1,2,0
51,0.0,0.125,2,1,1,0
52,0.125,0.125,2,1,2,0
54,0.25,0.125,2,1,4,0
51,0.375,0.125,2,1,1,0
47,0.5,0.125,3,1,4,0
57,0.625,0.125,1,2,0,0
55,0.75,0.125,2,2,4,0
54,0.875,0.125,2,2,3,0
52,0.0,0.125,2,2,1,0
55,0.125,0.125,2,2,4,0
59,0.25,0.125,1,2,1,0
55,0.375,0.125,2,2,4,0
60,0.5,0.125,1,2,2,0
57,0.625,0.125,1,2,0,0
54,0.75,0.125,2,2,3,0
59,0.875,0.125,1,2,1,0
55,0.0,0.125,2,2,4,0
52,0.125,0.125,2,2,1,0
55,0.25,0.125,2,2,4,0
59,0.375,0.125,1,2,1,0
60,0.5,0.125,1,2,2,0
57,0.625,0.125,1,2,0,0
54,0.75,0.125,2,2,3,0
59,0.875,0.125,1,2,1,0
55,0.0,0.125,2,2,4,0
52,0.125,0.125,2,2,1,0
55,0.25,0.125,2,2,4,0
59,0.375,0.125,1,2,1,0
60,0.5,0.125,1,2,2,0
57,0.625,0.125,1,2,0,0
54,0.75,0.125,2,1,4,0
52,0.875,0.125,2,1,2,0
51,0.0,0.125,2,1,1,0
52,0.125,0.125,2,1,2,0
54,0.25,0.125,2,1,4,0
51,0.375,0.125,2,1,1,0
47,0.5,0.25,3,1,4,0
56,0.0,0.125,2,7,1,0
59,0.125,0.125,2,7,4,0
64,0.25,0.125,1,7,2,0
56,0.375,0.125,2,7,1,0
65,0.5,0.125,1,7,3,0
56,0.625,0.125,2,7,1,0
64,0.75,0.125,1,7,2,0
56,0.875,0.125,2,7,1,0
59,0.0,0.125,2,7,4,0
56,0.125,0.125,2,7,1,0
64,0.25,0.125,1,7,2,0
56,0.375,0.125,2,7,1,0
65,0.5,0.125,1,7,3,0
56,0.625,0.125,2,7,1,0
64,0.75,0.125,1,7,2,0
56,0.875,0.125,2,7,1,0
57,0.0,0.125,2,7,2,0
60,0.125,0.125,1,4,1,0
62,0.25,0.125,1,4,2,1
63,0.375,0.125,1,4,3,1
64,0.5,0.125,1,4,4,1
60,0.625,0.125,1,4,1,0
62,0.75,0.125,1,4,2,1
63,0.875,0.125,1,4,3,1
64,0.0,0.125,1,4,4,1
52,0.125,0.125,2,2,1,0
60,0.25,0.125,1,2,2,0
59,0.375,0.125,1,2,1,0
57,0.5,0.125,1,2,0,0
59,0.625,0.125,1,2,1,0
57,0.75,0.125,1,2,0,0
55,0.875,0.125,2,5,2,0
54,0.0,0.125,2,5,1,0
57,0.125,0.125,2,5,4,0
62,0.25,0.125,1,5,2,0
54,0.375,0.125,2,5,1,0
63,0.5,0.125,1,5,3,0
54,0.625,0.125,2,5,1,0
62,0.75,0.125,1,5,2,0
54,0.875,0.125,2,5,1,0
57,0.0,0.125,2,5,4,0
54,0.125,0.125,2,5,1,0
62,0.25,0.125,1,5,2,0
54,0.375,0.125,2,5,1,0
63,0.5,0.125,1,5,3,0
54,0.625,0.125,2,5,1,0
62,0.75,0.125,1,5,2,0
54,0.875,0.125,2,5,1,0
55,0.0,0.125,2,5,2,0
59,0.125,0.125,1,2,1,0
60,0.25,0.125,1,2,2,0
61,0.375,0.125,1,2,3,0
62,0.5,0.125,1,2,4,0
59,0.625,0.125,1,2,1,0
60,0.75,0.125,1,2,2,0
61,0.875,0.125,1,2,3,0
62,0.0,0.125,1,2,4,0
50,0.125,0.125,2,2,0,0
59,0.25,0.125,1,2,1,0
57,0.375,0.125,1,2,0,0
55,0.5,0.125,2,2,4,0
57,0.625,0.125,1,2,0,0
55,0.75,0.125,2,2,4,0
54,0.875,0.125,2,2,3,0
